达人昵称,链接,达人认证,达人类目,达人粉丝数,10万以上点赞带货视频个数,5-10万点赞带货视频个数,1-5万点赞带货视频个数
屠峰豪,http://www.99doushang.com/v/rank/star/detail?uid=58000228578&starName=,优质视频创作者,帅哥,1094493,0,0,1
链宠乐园,http://www.99doushang.com/v/rank/star/detail?uid=109861153461&starName=,,宠物,456639,1,2,6
NNNNNADA,http://www.99doushang.com/v/rank/star/detail?uid=55787250305&starName=,,美女,422532,0,0,1
Lee兔百宝箱,http://www.99doushang.com/v/rank/star/detail?uid=109923187584&starName=,,,64130,0,0,1
工匠的故事,http://www.99doushang.com/v/rank/star/detail?uid=95763480803&starName=,,,122145,0,1,1
明墨科普,http://www.99doushang.com/v/rank/star/detail?uid=338275717887534&starName=,,文学,764673,1,1,4
好物严选,http://www.99doushang.com/v/rank/star/detail?uid=2106282154922893&starName=,,,3437,0,0,1
美丽女人,http://www.99doushang.com/v/rank/star/detail?uid=71318875853&starName=,,,5431,0,0,1
镇江欣之燕男装,http://www.99doushang.com/v/rank/star/detail?uid=108616068127&starName=,,,141471,0,0,1
时代说电影,http://www.99doushang.com/v/rank/star/detail?uid=96851510296&starName=,,娱乐,222964,0,0,1
Jamie孕妇装,http://www.99doushang.com/v/rank/star/detail?uid=4472436587235373&starName=,,,140267,0,3,1
楼兰小雅,http://www.99doushang.com/v/rank/star/detail?uid=52477207612&starName=,,,196241,0,0,1
小仙女,http://www.99doushang.com/v/rank/star/detail?uid=2053488054907213&starName=,,,81512,1,0,6
奈瑠书,http://www.99doushang.com/v/rank/star/detail?uid=50330727516&starName=,,艺术,728421,2,3,1
寒夜教练,http://www.99doushang.com/v/rank/star/detail?uid=101527968407&starName=,游戏视频作者,游戏,2222260,0,0,4
路申迪车品车讯,http://www.99doushang.com/v/rank/star/detail?uid=84954226224&starName=,,,15507,0,0,1
书界乞丐,http://www.99doushang.com/v/rank/star/detail?uid=101189947055&starName=,,情感,934861,0,0,1
电竞阿樑🇨🇳,http://www.99doushang.com/v/rank/star/detail?uid=103108408058&starName=,,游戏,234596,0,0,1
好货屋,http://www.99doushang.com/v/rank/star/detail?uid=980357887571419&starName=,,,12454,0,0,1
指间粘土,http://www.99doushang.com/v/rank/star/detail?uid=93178244290&starName=,,母婴育儿,520045,0,0,2
关公子,http://www.99doushang.com/v/rank/star/detail?uid=109667275850&starName=,,,123770,1,5,1
白衣未央,http://www.99doushang.com/v/rank/star/detail?uid=61738533254&starName=,,体育,916256,3,3,6
馋哭日记,http://www.99doushang.com/v/rank/star/detail?uid=2449359373345245&starName=,,美食,391085,2,0,3
小利利,http://www.99doushang.com/v/rank/star/detail?uid=1692866956507099&starName=,,穿搭,569426,1,3,3
夏诗文小仙女,http://www.99doushang.com/v/rank/star/detail?uid=76148822699&starName=,,穿搭,430837,0,0,1
最潮流女装,http://www.99doushang.com/v/rank/star/detail?uid=4094180572540188&starName=,,,13840,0,0,1
TUHAO,http://www.99doushang.com/v/rank/star/detail?uid=1217909347582883&starName=,,,51745,0,0,1
熙熙,http://www.99doushang.com/v/rank/star/detail?uid=107931545821&starName=,,母婴育儿,1872631,0,0,2
书单优选,http://www.99doushang.com/v/rank/star/detail?uid=61227107876&starName=,,文学,356818,0,0,1
赛爷,http://www.99doushang.com/v/rank/star/detail?uid=102652282390&starName=,,体育,1143484,0,0,4
璋哥,http://www.99doushang.com/v/rank/star/detail?uid=101837512999&starName=,,生活,337117,0,0,3
媛媛,http://www.99doushang.com/v/rank/star/detail?uid=540554926239539&starName=,,,326,0,0,1
俄罗斯女孩,http://www.99doushang.com/v/rank/star/detail?uid=980365361813005&starName=,,,52850,0,0,1
小咖娱乐,http://www.99doushang.com/v/rank/star/detail?uid=60969257386&starName=,,娱乐,557384,0,0,1
呕吐蛋玩具集合,http://www.99doushang.com/v/rank/star/detail?uid=63242725592&starName=,,母婴育儿,1251087,0,0,3
阿狸是个委屈鬼🐱,http://www.99doushang.com/v/rank/star/detail?uid=58997543807&starName=,,宠物,764181,1,1,5
张袁记,http://www.99doushang.com/v/rank/star/detail?uid=59152554615&starName=,抖音好物推荐达人,时尚,332372,0,0,2
明明舅父,http://www.99doushang.com/v/rank/star/detail?uid=135930790282076&starName=,,动漫,1223616,3,0,1
汪四姨,http://www.99doushang.com/v/rank/star/detail?uid=106056671938&starName=,,美妆,1413319,0,1,1
爱笑的小仙女姐姐,http://www.99doushang.com/v/rank/star/detail?uid=505379953586355&starName=,,,26528,0,1,1
阿强美食分享,http://www.99doushang.com/v/rank/star/detail?uid=110015378154&starName=,优质美食自媒体,美食,7051668,2,1,13
你的音乐🎵汇,http://www.99doushang.com/v/rank/star/detail?uid=62348495684&starName=,,,166815,0,0,1
烦烦,http://www.99doushang.com/v/rank/star/detail?uid=97409100202&starName=,,,14216,0,0,1
顾的奈奈,http://www.99doushang.com/v/rank/star/detail?uid=3628015264478627&starName=,,美妆,2152453,0,0,2
哆啦x梦,http://www.99doushang.com/v/rank/star/detail?uid=105714538352&starName=,,种草,268583,0,0,1
雨妈妈,http://www.99doushang.com/v/rank/star/detail?uid=70548121620&starName=,抖音音乐人,音乐,1067562,0,0,1
三十斤,http://www.99doushang.com/v/rank/star/detail?uid=71952167289&starName=,,美妆,456513,0,0,1
网红好物分享,http://www.99doushang.com/v/rank/star/detail?uid=1050750099133235&starName=,,,1983,0,0,1
测评狂魔_苏小落ﾍ😈ﾍ,http://www.99doushang.com/v/rank/star/detail?uid=73533913734&starName=,,美女,930128,0,0,4
朵妈数学课堂,http://www.99doushang.com/v/rank/star/detail?uid=83227045950&starName=,优质教育自媒体,创意,3036759,0,0,2
刷脸付庄亓(qí),http://www.99doushang.com/v/rank/star/detail?uid=61697169785&starName=,,生活,315121,0,0,2
小衣橱管家,http://www.99doushang.com/v/rank/star/detail?uid=98187566200&starName=,抖音人气好物推荐官,家居,889057,0,2,3
talking树先生,http://www.99doushang.com/v/rank/star/detail?uid=103385729825&starName=,,生活,545475,0,0,1
平乐县优鲜达水果,http://www.99doushang.com/v/rank/star/detail?uid=461418517234254&starName=,,,27685,1,0,1
小小麻麻,http://www.99doushang.com/v/rank/star/detail?uid=111591544736&starName=,,,8174,0,0,1
赛雷三分钟,http://www.99doushang.com/v/rank/star/detail?uid=96092971703&starName=,,资讯,1264720,1,2,3
羊城时尚街拍,http://www.99doushang.com/v/rank/star/detail?uid=2950693979426099&starName=,,,55584,0,1,1
解忧好物,http://www.99doushang.com/v/rank/star/detail?uid=294273295581735&starName=,,,47462,0,1,2
亦珩爱种草,http://www.99doushang.com/v/rank/star/detail?uid=109935705868&starName=,,,17038,0,0,1
肖瑶_,http://www.99doushang.com/v/rank/star/detail?uid=97259499971&starName=,优质美食自媒体,美食,4465053,5,2,1
春麗,http://www.99doushang.com/v/rank/star/detail?uid=57843939290&starName=,,,14467,0,0,1
博克汉思服饰官方,http://www.99doushang.com/v/rank/star/detail?uid=99357706711&starName=,,,36986,0,0,1
天莲瑞水果基地,http://www.99doushang.com/v/rank/star/detail?uid=338305093746404&starName=,,美食,295179,0,1,1
爱减肥爱分享,http://www.99doushang.com/v/rank/star/detail?uid=101817632427&starName=,,,59576,0,0,1
仙女班长💓,http://www.99doushang.com/v/rank/star/detail?uid=75499644471&starName=,,,4215,0,0,2
念春墨缘,http://www.99doushang.com/v/rank/star/detail?uid=64223191241&starName=,,艺术,419571,0,0,2
